IAGA,GLON,GLAT,MLON,MLAT,Station name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PIN,263.96,50.2,-27.7,60.01,Pinawa,96%,95%,27%,98%,90%,94%,84%,97%,95%,92%,84%,89%,86%,95%,77%,28%,79%,74%,55%,34%
RAL,256.32,58.22,-40.38,67.01,Rabbit Lake,99%,99%,100%,96%,99%,92%,100%,90%,92%,95%,97%,95%,89%,79%,86%,57%,83%,90%,60%,72%
RAN,267.89,62.82,-23.42,72.47,Rankine Inlet,93%,91%,88%,70%,71%,37%,61%,50%,74%,50%,37%,65%,58%,75%,81%,89%,27%,87%,97%,59%
NOR,25.79,71.09,109.23,68.11,Nordkapp,0%,0%,0%,0%,0%,0%,0%,22%,32%,95%,98%,99%,90%,95%,98%,100%,99%,100%,99%,80%
NAL,11.95,78.92,110.01,76.5,New Aalesund,100%,100%,100%,99%,83%,100%,100%,100%,33%,93%,100%,100%,98%,96%,100%,97%,100%,100%,100%,100%
LYR,15.83,78.2,111.06,75.57,Longyearbyen,100%,100%,100%,98%,89%,99%,91%,100%,44%,74%,82%,68%,93%,99%,100%,97%,99%,100%,100%,96%
JAN,351.3,70.9,82.77,70.43,Jan Mayen,100%,100%,83%,99%,46%,48%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,96%,99%,100%,100%
HOP,25.01,76.51,114.58,73.45,Hopen Island,80%,92%,99%,0%,0%,0%,0%,0%,27%,100%,100%,98%,97%,99%,98%,97%,99%,94%,100%,84%
BJN,19.2,74.5,107.7,71.81,Bear Island,97%,97%,83%,94%,62%,100%,100%,99%,94%,100%,100%,99%,98%,100%,100%,100%,99%,99%,100%,100%
SOR,22.22,70.54,105.99,67.72,Soeroeya,65%,49%,92%,100%,100%,89%,98%,98%,94%,100%,92%,100%,89%,96%,99%,100%,99%,100%,98%,99%
TRO,18.94,69.66,102.73,66.99,Tromso,100%,100%,100%,99%,99%,100%,100%,100%,100%,100%,100%,100%,98%,100%,100%,100%,100%,100%,100%,100%
AND,16.03,69.3,100.18,66.78,Andenes,100%,100%,86%,100%,100%,96%,96%,97%,29%,100%,94%,99%,98%,100%,99%,100%,99%,100%,90%,96%
JCK,16.98,66.4,98.89,63.74,Jaeckvik,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,29%,100%,94%,99%,98%,99%,99%,100%,92%,50%
DON,12.5,66.11,95.14,63.68,Doenna,0%,0%,0%,0%,0%,0%,0%,13%,64%,75%,100%,100%,93%,96%,98%,97%,100%,100%,100%,100%
RVK,10.99,64.94,93.22,62.54,Roervik,98%,100%,100%,92%,99%,95%,88%,100%,83%,99%,88%,100%,91%,99%,100%,98%,100%,100%,85%,100%
DOB,9.11,62.07,90.13,59.58,Dombas,98%,98%,100%,98%,99%,100%,100%,100%,100%,100%,100%,95%,98%,99%,100%,100%,100%,100%,100%,92%
SOL,4.84,61.08,86.2,58.77,Solund,0%,0%,0%,0%,0%,0%,0%,100%,99%,100%,100%,94%,95%,96%,0%,98%,98%,100%,100%,100%
KAR,5.24,59.21,85.64,56.66,Karmoey,0%,0%,0%,0%,100%,100%,96%,96%,93%,99%,96%,97%,98%,99%,97%,100%,100%,100%,94%,100%
